WKT,fid,OBJECTID,CODE,school_name,LEVEL,Status,County,DISTRICT,ZONE,SUB_COUNTY,Ward,Long,Lat,Source
MULTIPOINT ((268959.674705076 9860310.45304822)),1656,34342,200718809,SUNRISE SCH PRI,Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.923655,-1.262978,"Open Data Kenya, School 2007"
MULTIPOINT ((266739.198420031 9863007.32378691)),1657,34345,200718815,GLOWLAND DAY SCH,Primary,,NAIROBI NORTH,,,,LUCKY SUMMER,36.903728,-1.238579,"Open Data Kenya, School 2007"
MULTIPOINT ((253844.878448861 9853398.56654566)),1658,34351,200718834,UHURU GARDENS PRI SCH,Primary,,NAIROBI WEST,,,,MUGUMU-INI,36.787831,-1.325352,"Open Data Kenya, School 2007"
MULTIPOINT ((247142.347459323 9861317.84640417)),1659,34376,200718937,SPRING VALLEY COMMUNITY SCH PRI,Primary,,NAIROBI NORTH,,,,KITISURU,36.727691,-1.253706,"Open Data Kenya, School 2007"
MULTIPOINT ((254639.49951406 9854702.51880805)),1660,34380,200718952,CHEPOR PRI SCH,Primary,,NAIROBI WEST,,,,LAINI SABA,36.794979,-1.31357,"Open Data Kenya, School 2007"
MULTIPOINT ((266766.471333097 9862728.06757116)),1661,34381,200718954,WAMA JUNIOR SCH,Primary,,NAIROBI NORTH,,,,LUCKY SUMMER,36.903971,-1.241104,"Open Data Kenya, School 2007"
MULTIPOINT ((267573.812161537 9858674.82779097)),1662,34387,200718966,BROOKFIELD ACADEMY PRI),Primary,,NAIROBI SOUTH,,,,KAYOLE CENTRAL,36.911194,-1.277756,"Open Data Kenya, School 2007"
MULTIPOINT ((269833.787501467 9864116.45075753)),1663,34393,200718989,SIMCOD COMM. DEVPT.  EDUCATIONAL CENTRE - PRI,Primary,,NAIROBI NORTH,,,,MWIKI,36.931534,-1.228573,"Open Data Kenya, School 2007"
MULTIPOINT ((247785.438723161 9851976.29342646)),1664,34397,200719005,HILLCREST PRI,Primary,,NAIROBI WEST,,,,KAREN,36.733392,-1.33816,"Open Data Kenya, School 2007"
MULTIPOINT ((274390.207499337 9857752.79614058)),1665,34410,200719047,AMBROSE PRI SCH,Primary,,NAIROBI SOUTH,,,,MIHANGO,36.97242,-1.286142,"Open Data Kenya, School 2007"
MULTIPOINT ((268111.478957865 9859798.22942224)),1666,34419,200719087,MERCURY ACADEMY PRI,Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.916032,-1.267603,"Open Data Kenya, School 2007"
MULTIPOINT ((269837.386080393 9863639.2011277)),1667,34423,200719105,EUREKA SCHOOL - PRI,Primary,,NAIROBI NORTH,,,,MWIKI,36.931563,-1.232888,"Open Data Kenya, School 2007"
MULTIPOINT ((267594.807091752 9858867.07561162)),1668,34437,200719141,RIVER LINE ACADEMY PRI),Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.911384,-1.276018,"Open Data Kenya, School 2007"
MULTIPOINT ((255348.078647872 9856901.1263167)),1669,34439,200719146,ALLEN GROVE SCH PRI,Primary,,NAIROBI WEST,,,,KILIMANI,36.801361,-1.293699,"Open Data Kenya, School 2007"
MULTIPOINT ((263972.159504068 9861829.81293495)),1670,34443,200719159,DELIGENT EDUCATION CENTRE PRI SCH.,Primary,,NAIROBI NORTH,,,,MATHARE NORTH,36.878864,-1.249205,"Open Data Kenya, School 2007"
MULTIPOINT ((257716.22047271 9855525.50888904)),1671,34452,200719194,SHREE CUTCHI LEVA PATEL PRI,Primary,,NAIROBI WEST,,,,NAIROBI WEST,36.822622,-1.306154,"Open Data Kenya, School 2007"
MULTIPOINT ((265617.79005375 9856888.82613907)),1672,34468,200719231,DOONHOLM PRI SCH,Primary,,NAIROBI SOUTH,,,,UPPER SAVANNAH,36.89361,-1.293889,"Open Data Kenya, School 2007"
MULTIPOINT ((265541.240387218 9858999.89721201)),1673,34476,200719269,HALLMARK ACADEMY PRI,Primary,,NAIROBI SOUTH,,,,MOWLEM,36.892938,-1.274802,"Open Data Kenya, School 2007"
MULTIPOINT ((253111.870772228 9853168.60755564)),1674,34486,200719325,PCEA LANGATA PRI SCH,Primary,,NAIROBI WEST,,,,MUGUMU-INI,36.781245,-1.327425,"Open Data Kenya, School 2007"
MULTIPOINT ((245973.346628082 9857621.49175116)),1675,34488,200719336,KABIRIA PRI SCH,Primary,,NAIROBI WEST,,,,WAITHAKA,36.717162,-1.287112,"Open Data Kenya, School 2007"
MULTIPOINT ((262706.940093924 9861283.05021212)),1676,34496,200719365,JOYRAX HUMANIST SCH. -PRI,Primary,,NAIROBI NORTH,,,,UTALII,36.867495,-1.254139,"Open Data Kenya, School 2007"
MULTIPOINT ((263033.57137874 9861830.2702302)),1677,34502,200719389,PRECIOUS KIDS SCH,Primary,,NAIROBI NORTH,,,,UTALII,36.870433,-1.249194,"Open Data Kenya, School 2007"
MULTIPOINT ((246708.652286409 9855837.4306031)),1678,34509,200719430,NGONG FOREST PRIMARY SCHOOL,Primary,,NAIROBI WEST,,,,MUTU-INI,36.723752,-1.303246,"Open Data Kenya, School 2007"
MULTIPOINT ((267430.491983287 9865463.84578368)),1679,34519,200719493,WISELINK ACADEMY - PRI SCH,Primary,,NAIROBI NORTH,,,,CLAY CITY,36.909955,-1.216374,"Open Data Kenya, School 2007"
MULTIPOINT ((262911.854161886 9861739.5839416)),1680,34530,200719544,LUCETA JUNIOR SCH PRI,Primary,,NAIROBI NORTH,,,,UTALII,36.869339,-1.250013,"Open Data Kenya, School 2007"
MULTIPOINT ((246902.654322753 9857759.15727095)),1681,34532,200719553,E.C.U.C PRIMARY SCH,Primary,,NAIROBI WEST,,,,WAITHAKA,36.72551,-1.285875,"Open Data Kenya, School 2007"
MULTIPOINT ((257938.338453353 9860872.2980796)),1682,34533,200719557,AGA KHAN PRI SCH - DEAF UNIT,Primary,,NAIROBI NORTH,,,,PARKLANDS/HIGHRIDGE,36.824658,-1.257817,"Open Data Kenya, School 2007"
MULTIPOINT ((247713.193343065 9860393.57702396)),1683,34534,200719562,BREMIER SCH PRI,Primary,,NAIROBI NORTH,,,,KITISURU,36.732811,-1.262066,"Open Data Kenya, School 2007"
MULTIPOINT ((265985.811275175 9858250.57600149)),1684,34547,200719603,TUMAINI PRI SCH,Primary,,NAIROBI SOUTH,,,,UMOJA II,36.896926,-1.28158,"Open Data Kenya, School 2007"
MULTIPOINT ((259796.704354258 9859581.700252)),1685,34585,200719711,GURU NANAK PRI SCH,Primary,,NAIROBI NORTH,,,,PANGANI,36.841341,-1.269499,"Open Data Kenya, School 2007"
MULTIPOINT ((265169.365410846 9862226.41519687)),1686,34596,200719750,MARANATHA FAITH ASSEMBLIES PRI SCH,Primary,,NAIROBI NORTH,,,,BABA DOGO,36.889621,-1.245628,"Open Data Kenya, School 2007"
MULTIPOINT ((252828.464377134 9855624.43315932)),1687,34601,200719768,LITTLE PRINCE PRI SCH.,Primary,,NAIROBI WEST,,,,WOODLEY/KENYATTA GOLF COURSE,36.778719,-1.305221,"Open Data Kenya, School 2007"
MULTIPOINT ((268269.110796489 9860214.11720636)),1688,34602,200719769,ST LUCIA ACADEMY-PRI SCH,Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.917451,-1.263844,"Open Data Kenya, School 2007"
MULTIPOINT ((251634.158808808 9856950.86724836)),1689,34616,200719814,MAKINI SCH NGONG ROAD - PRI,Primary,,NAIROBI WEST,,,,KILIMANI,36.768002,-1.29322,"Open Data Kenya, School 2007"
MULTIPOINT ((263019.361338714 9859332.18835509)),1690,34628,200719860,SLUCANO ACE ACADEMY PRI,Primary,,NAIROBI NORTH,,,,AIRBASE,36.870287,-1.271779,"Open Data Kenya, School 2007"
MULTIPOINT ((264333.602842865 9863115.90666513)),1691,34634,200719881,BRIGHT JUNIOR SELF HELP GROUP PRI,Primary,,NAIROBI NORTH,,,,KASARANI,36.88212,-1.23758,"Open Data Kenya, School 2007"
MULTIPOINT ((267618.369610564 9859738.76922426)),1692,34648,200719937,THE GOLDEN HEART ACADEMY,Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.911602,-1.268137,"Open Data Kenya, School 2007"
MULTIPOINT ((265763.855628052 9853955.57177668)),1693,34649,200719941,SILVER BRIDGE SCHOOL,Primary,,NAIROBI SOUTH,,,,PIPELINE,36.8949,-1.32041,"Open Data Kenya, School 2007"
MULTIPOINT ((243312.007827769 9856941.54342719)),1694,34656,200719967,MUTUINI PRI SCH,Primary,,NAIROBI WEST,,,,MUTU-INI,36.693253,-1.293237,"Open Data Kenya, School 2007"
MULTIPOINT ((248398.053728183 9856316.37718457)),1695,34658,200719973,HOPE STREAMS ACADEMY PRI,Primary,,NAIROBI WEST,,,,KAREN,36.73893,-1.29893,"Open Data Kenya, School 2007"
MULTIPOINT ((262460.588232982 9861677.05572268)),1696,34677,200720073,KENS NURS & SCH - PRI,Primary,,NAIROBI NORTH,,,,UTALII,36.865285,-1.250575,"Open Data Kenya, School 2007"
MULTIPOINT ((267915.083590306 9858862.91136678)),1697,34688,200720129,KAYOLE ST PATRICKS ACADEMY PRI),Primary,,NAIROBI SOUTH,,,,KAYOLE CENTRAL,36.914261,-1.276058,"Open Data Kenya, School 2007"
MULTIPOINT ((263142.957438673 9859436.59314751)),1698,34698,200720176,SALEM ED CENTER PRI,Primary,,NAIROBI NORTH,,,,AIRBASE,36.871398,-1.270836,"Open Data Kenya, School 2007"
MULTIPOINT ((264124.733134191 9861207.77298438)),1699,34699,200720183,JOYLANDS JNR ACADEMY PRI,Primary,,NAIROBI NORTH,,,,KIAMAIKO,36.88023,-1.25483,"Open Data Kenya, School 2007"
MULTIPOINT ((255109.762365816 9860756.43709112)),1700,34701,200720187,GREEN GATES PRI SCH,Primary,,NAIROBI NORTH,,,,PARKLANDS/HIGHRIDGE,36.79925,-1.258843,"Open Data Kenya, School 2007"
MULTIPOINT ((257998.976118741 9859322.35954594)),1701,34713,200720238,ARYA PRIMARY SCH,Primary,,NAIROBI NORTH,,,,NGARA,36.825191,-1.27183,"Open Data Kenya, School 2007"
MULTIPOINT ((244659.055248014 9853557.68454836)),1702,34722,200720276,ST. ELIZABETH ACADEMY PRI,Primary,,NAIROBI WEST,,,,KAREN,36.705324,-1.323838,"Open Data Kenya, School 2007"
